"thread_id","thread_date","author_id","thread_title","thread_body"
15667,"2025-07-07 18:11:59.496418+00",23681,"GitHub Copilot: All Areas Of Codebase?","For those who are permitting the use of GitHub Copilot: Have you opened it up to all areas of the codebase or are you limiting it to certain areas only (and if so, why)?        In the process of developing a policy to set guardrails around its use, and I want to get an updated response on this question. This also assumes that appropriate restrictions will be put in place (use of the Enterprise License only, attribution requirements, duplication detection filter, human code review, etc.). "
15668,"2025-07-07 18:57:34.527181+00",14773,"Apostille Services In Charlotte, North Carolina (For Use In Bulgaria)","I need a document notarized and apostilled for use in Bulgaria. In Austin, TX, we get this done at one of the UPS offices downtown, but I believe that UPS in Charlotte does not offer this service. Any referrals would be sincerely appreciated! "
15669,"2025-07-07 19:48:00.874936+00",23903,"AI/Healthcare Regulatory Counsel","All - I'd be grateful for any recommendations for counsel that can provide AI expertise in the (B2B) healthcare regulatory context. We are a SAAS platform provider; customers are hospital systems, ACOs, CINs, payors and other healthcare institutions. "
15671,"2025-07-08 02:22:53.634809+00",5714,"Startup - Attorney Recommendation","An industry colleague is looking for a lawyer with expertise/experience in drafting OMs and associated docs for a startup without having to pay big-firm fees. I'd appreciate your sharing any recommendations. Thank you. "
15672,"2025-07-08 12:15:34.299524+00",15646,"Clinical Lab Billing Services Provider","Seeking recommendations for a clinical lab billing services provider with expertise in billing,  market access, reimbursement and appeals processes with major insurance companies operating in (but not limited to) New York state, specifically concerning whole genome sequencing and whole genome transcriptome sequencing. Thanks in advance. "
15673,"2025-07-08 12:34:51.687024+00",34721,"Data Governance Approaches","Hi! Hoping to tap into you all for some info on different companies' approaches to Data Governance. We have begun our Data Governance journey but our lead is looking to better understand how other companies have approached their data governance initiatives. If anyone is open to discussing their approaches or connecting my DG lead with your DG lead, please let me know. "
15674,"2025-07-08 13:17:53.68029+00",3040,"CA SB 261 Compliance","Curious to hear how companies subject to CA SB 261's requirement to release a report detailing climate related financial risk by 1/1/2026 are going about preparing that report.  I'm specifically interested in hearing whether folks have engaged an outside firm (e.g., KPMG, Watershed, S&P, law firms, etc.) to conduct a climate risk assessment as an input to that report (and to ultimately produce that report in whatever format CA will require). "
15675,"2025-07-08 13:32:35.289045+00",13434,"Attorney Recommendation For Acquisition Of Small Digital Business","Hi all, a friend of mine is in the process of acquiring a small digital marketing business, with a deal size around $800K, and he's currently looking for a legal counsel to help with the acquisition, specifically the asset purchase agreement. Would greatly appreciate your recommendation of attorneys that would be a great fit, thank you in advance! "
15676,"2025-07-08 13:40:53.016424+00",24194,"Fractional CFO","Hi, I am considering a fractional CFO. Do you have anyone you'd recommend? "
15678,"2025-07-08 16:13:42.26233+00",4353,"Lease Management Software Or AI","Hello! I am looking for some type of software to assist with real property Lease management tasks. E.g.- lays out lease covenants, tenant improvement procedures and requirements, renewals/expirations, changes in rent calculations, etc. Thank you for your recommendations! "
15679,"2025-07-08 16:50:24.734363+00",17819,"Proprietary Technology Statement","Has anyone drafted a Proprietary Technology Statement that they would be comfortable sharing as a template? "
15680,"2025-07-08 17:57:03.382254+00",791,"Private Investigator In Canada","I am looking for a private investigator in Canada. Does anyone have any recommendations by chance? "
15682,"2025-07-08 18:57:06.793396+00",1205,"AI Tool For Generating PPTs","Any recommendations on an AI tool that helps build PPT decks? Looking for a tool for company use. Must have appropriate data use and security terms (e.g. no training on our data, ability to delete data inputs at any time, appropriate security etc.) "
15683,"2025-07-08 22:20:34.889071+00",1329,"Contingency Fee Lawyer For Bank Case","Hi, does anybody know one of these. My friend's business lost $20K or so because of a bank error that routed several customer payments to someone else. I know it's not a lot of money, so somebody relatively junior is fine. Thanks for your help. "
15685,"2025-07-09 02:46:19.749074+00",34753,"Conflict Waiver Language From Law Firms","Hello - trying to get some info on trends in what firms will and will not agree to in conflict waiver language in outside counsel guidelines. We continue to see firms taking hard line positions (even stronger than the carve outs for advance transactional waivers that we started seeing 5+ years ago). Is it worth pushing back? Are they really just trying to manage various offices/entities (of both firm and client)? Seems that that would be pretty easily automated these days so not sure it's an efficiency issue. Curious if others have been seeing more of this lately. Thanks! "
15687,"2025-07-09 13:00:58.899627+00",37319,"Localizing Your SaaS Contract For Foreign Jurisdictions","Hi, Wondering if anyone is localizing their outbound B2B SaaS contracts for local markets, such as for German market, or Swiss market. If yes - when did you decide to do it and what was driving this decision? Has it improved contracting cycles in such market? "
15688,"2025-07-09 13:55:31.171308+00",3717,"DPA - Australia / Canada Compliant","Hi, Does anyone have a form Data Processing Addendum that they use for Australia or Canada SaaS agreements?  "
15690,"2025-07-09 15:55:22.805136+00",8748,"ISO Sanctions Vetting Tool","Hi everyone - As we continue to scale our compliance function, we're exploring whether there are any sanctions vetting tools that make the process less manual. For instance, we're looking for any tools that leverage AI to automate some of the easy calls; have reliable, easy-to-use integrations with Salesforce to vet prospects and perform ongoing customer scans; and are somewhat customizable.  I know there were some threads on this from a few years ago, but given recent developments with AI, does anyone have any recommendations for reliable vetting tools? Thanks! "
15691,"2025-07-09 16:22:07.343021+00",24169,"Exempt-to-Non-Exempt Reclassification for Sales Roles (US/CA)","Has anyone here gone through a reclassification process in the U.S., particularly involving sales roles (e.g., BDRs, AEs) and with California in scope? I've recently joined my current company and have been looking into this issue as part of a broader payroll system transition. I've proposed the standard compliant route: reclassifying certain roles from exempt to non-exempt, tracking actual time worked via timesheets, and clearly ""providing"" (but not policing) meal and rest breaks in line with CA law. The plan would include having employees sign updated break policies and certify weekly on timesheets that they were offered all required breaks. Potentially it would also include a mechanism for pre-approval of overtime. That said -- I've been asked (unsurprisingly) whether other tech companies have found more ""elegant"" solutions. The concern isn't just about the admin of tracking hours -- it's also the cost of paying overtime. I'm fully aware of the legal requirements, but I need to understand what others are doing in practice -- especially in go-to-market orgs where the business feels that hourly classification undermines culture or incentives. If you've taken a different approach (or fought for the standard one and won), I'd really value hearing how you handled the legal, operational, and cultural angles. Feel free to DM if easier. Thanks! "
15692,"2025-07-09 16:31:44.186899+00",3954,"Agiloft Consultant","Has anyone worked with a consultant for Agiloft CLM implementation, improvements or outsourced admin? If so, please let me know recommendations, whether you though it was valuable and any tips/cautions. We are looking at Qualitas (recommended by Agiloft) and interested in assessing another option for comparison. Thanks!  "
15693,"2025-07-09 17:18:08.529526+00",33889,"FTC Click To Cancel","Given that the 8th Circuit has vacated the FTC's Click to Cancel rule at the 11th hour, I wanted to see what subscription-based companies are doing in light of the decision. We were completely ready to go with updates to our sign up processes, and now the team is frustrated they put in all this work for nothing. I argued that there are still the equivalent state-level rules that impact us, but am wondering if folks are scaling back on compliance with any specific aspect of the rule. (We updated our signup process to require affirmative consent of our Terms and Privacy Policy, consent to automatic billing, and also providing the required disclosures -- our cancellation process was compliant so we have no concerns there). "
15694,"2025-07-09 17:51:20.600937+00",2324,"Privacy Counsel","Hi, I'm looking for a recommendation for top tier privacy counsel as we start looking at building a privacy program. We've been working with Gunderson, but having a poor experience. "
15695,"2025-07-09 20:48:32.820416+00",14699,"UK And Germany Employee Time Tracking","We're looking to benchmark how tech companies with operations in UK and Germany are handling time tracking for non-hourly employees to comply with working time regulations in those regions. Any feedback from a best practices and ease of administration perspective would be greatly appreciated! "
15696,"2025-07-09 21:22:42.526412+00",6509,"Public Company In-House Counsel: MNDAs Before Contract Negotations?","Hi public company in-house counsel: Do you require a MNDA or other confidentiality agreement before your business teams negotiate contracts with potential service providers, or instead do you simply guide them on permissible disclosures prior to having a signed contract that will include confidentiality protections? Why or why not? I'm evaluating our commercial legal team's impact with MNDAs etc. pre-contract. Thanks! "
15697,"2025-07-09 21:33:28.600879+00",34830,"AI Enabled Privacy Automation Tools","Hi All, I am looking for recommendations on an AI-enabled privacy automation tool. We've been using OneTrust, and it's clunky, highly manual, and expensive. I appreciate all feedback. "
15699,"2025-07-09 22:27:11.513224+00",34829,"Automatic reply: Daily Digest","  I am currently out of the office with limited access to email.  I will respond to your message when I return on Thursday, July 10th. This message may contain information that is privileged or confidential. If you are not the intended recipient, please advise the sender immediately by reply email and delete this message and any attachments without retaining a copy. "
15700,"2025-07-09 22:28:05.487062+00",28938,"Fleet Entity In Indiana","Does anyone have a recommendation for counsel to assist with setting up a fleet entity in Indiana? "
15701,"2025-07-09 23:02:31.100245+00",37614,"Global Regulatory Compliance","Hi all! Would appreciate your input on what has worked for your team in terms of managing global regulatory compliance while scaling as a business. We're finding that we're running up against 2 issues as a SaaS business with an increasing number of global customers: i) identifying all global laws that we are required to comply with (e.g., privacy laws, tax laws, AML laws, etc.) and ii) keeping up-to-date with all these global laws. Has your team used any software or joined any association to help track applicable global regulatory requirements? "
15702,"2025-07-09 23:26:32.062961+00",37614,"CLM Software - Analytics Features","Hi all - we're using LinkSquares as our CLM software and looking to see how best to leverage its analytics features (i.e., Reports & Dashboard). For those of you who are using LinkSquares or other comparable CLM software, what types of data or reports does your company value the most in terms of gaining visibility into the types of agreements the company is entering into (e.g., number of agreements with auto-renewal language, the types of liability language we're typically agreeing to, etc.)? Thanks! "
15703,"2025-07-10 03:02:01.88362+00",35320,"Big Beautiful Bill Impact Dissemination","Seeking any non-politicized summaries of business impacts faced by US based SaaS/Tech companies from the Big Beautiful Bill recently passed. "
15704,"2025-07-10 13:18:22.51843+00",8904,"Referral For Washington State Employment Lawyer","Hi! Looking for a Washington employment law referral to represent an individual plaintiff in a wrongful termination. Any names would be great! "
15705,"2025-07-10 13:32:40.501364+00",791,"Lien Seniority As Part Of An Easement Agreement","We are considering acquiring a piece of property from a third party, and that third party will only sell if they can maintain an easement on the property to maintain a sign there. The third party is also demanding that their easement remain senior to any future mortgage (if any) because they are afraid their easement could get wiped away in the event of a foreclosure.   In my opinion, a commercial lender will never agree to anything other than being the senior lien holder, but they would agree to a Subordination, Nondisturbance, and Attornment Agreement (SNDA) that would effectively provide them with the protection that they need. Has anyone dealt with a similar issue before? Any commercial lending experts? Would a commercial lender actually allow themselves to be junior to this type of easement? "
15706,"2025-07-10 14:28:58.916569+00",36820,"Tracking Free Time And Other Value Adds","Hi all! We are looking for a data-driven way to track value adds that our law firm partners provide us (complimentary partner hours, hotline/office hours, trainings, etc.). Has anyone been successful in finding a method that works for both the corporate and law firm sides? "
15707,"2025-07-10 14:43:03.830416+00",4937,"Senior SaaS Trainer For My Team","Does anyone know of a senior commercial SaaS lawyer who sells time flexibly? I'm looking for someone experienced to train up my team on a consultancy basis. "
15708,"2025-07-10 16:29:30.997181+00",9566,"Shutting Off Employee Access To Free Versions Of ChatGPT","Hi TechGC. We've learned some Security teams are shutting off access to free versions of ChatGPT and similar LLMs to give their internal AI use policy more ""teeth"" and ensure that employees aren't sharing confidential company data or personal information without an enterprise license. We're trying to benchmark. Is that something you're also doing or considering? Thank you for any insight. "
15712,"2025-07-10 18:43:46.774325+00",37705,"NYC Good Cause Eviction Question","Hi, A bit off-topic but I couldn't find the answer anywhere to this question. If a building that otherwise is subject to the GCE law in NYC has multiple certificates of occupancy (before and after the law), should we count the first or the latest for purposes of determining if such building can use an exemption or not. I'd appreciate your help with this. Thanks. "
15714,"2025-07-10 20:44:52.296653+00",1711,"CX AI","Does anyone on the consumer facing side have experience with any of the following CX platforms? Would love to chat (and possibly connect other team members) if yes. Thanks!   * Decagon AI   * Sierra AI   * Digital Genius    "
15715,"2025-07-10 21:22:34.07331+00",30635,"Minnesota Transactional Counsel","Australia company looking for local counsel to help with a distribution agreement with Minnesota reseller. "
15717,"2025-07-10 22:11:59.783729+00",33260,"AI Policy - Code Scanner","In some of the AI policy examples posted in the Peer Documents, I noticed a reference to ""code scanners"" that help ensure that no third-party IP is included in the code output from AI tools. Does anyone have guidance on which code scanners you're using or would suggest? "
15718,"2025-07-10 23:43:38.26746+00",37718,"Offer In Form Of Presentation Rather Than Letter","I'm looking into precedents for employment/service Offers in the form of presentations (i.e., slide decks) rather than traditional letters. Anyone examined the enforceability of something like this? "
15719,"2025-07-11 01:07:24.943211+00",32976,"RIA - Compliance Consultant Fee","Dear, We are an RIA firm and currently use IQEQ as our compliance consultant. Their monthly fee is quite high relative to the actual time they spend on our matters -- usually just a monthly call and addressing one or two questions at most. (To be fair, the fee also includes access to the gVue platform, but almost all filings are charged separately.) Our firm is considering re-negotiating this fee, and I would appreciate your advice on what you think is a reasonable range for a monthly charge that covers ""platform + general support."" Any insights or tips you can share would be greatly appreciated. Many thanks in advance. "
15721,"2025-07-11 03:12:22.612647+00",2915,"Seeking Illinois Employee-Side Employment Counsel To Review And Negotiate Severance","Seeking an Illinois employee-side referral for a friend who was terminated in a restructuring after 3.5 yrs with the company. She is seeking a review of her severance package and help negotiating it since she had been there from Series A through IPO. She was a VP and helped the company go public this year. The company is incorporated in DE and headquartered in AZ, but she works remotely and her residence is in IL. Hoping for someone cost effective for counseling, since she is not necessarily litigation focused at this stage, but there are potential race and gender disparities in promotion patterns and pay.      Thanks so much for any leads. "
15722,"2025-07-11 10:24:51.696676+00",33593,"Sense Check On EU AI Act","We are a UK SaaS company providing services to the EU market. The product team are looking at integrating AI systems into our offering, e.g. AI powered data filtering, chat bots, and the like. On assessment our intended use cases will be ""low-risk"" (or rather, not ""high-risk""). We will be a ""deployer"" rather than a ""provider"" of AI systems. I had originally thought/assumed there would be some basic transparency obligations under the Act. However, in reading Article 50, it seems that perhaps even this is not required. Article 50 seems to specify transparency obligations for deployers:   1. of  ""an emotion recognition system or a biometric categorisation system"", and/or   2. where the AI system ""generates or manipulates image, audio or video content constituting a deep fake"", and/or   3. where the AI system ""generates or manipulates text which is published with the purpose of informing the public on matters of public interest shall disclose that the text has been artificially generated or manipulated"".   None of these apply to our intended use cases. As such, am I correct in thinking that there are no transparency obligations when a user interacts with our integrated AI systems? Grateful for the views of any deployers with similar use cases that have already undertaken this assessment. "
15723,"2025-07-11 12:25:53.000214+00",37860,"Click-Thru Platform","Does anyone have good experience or recommendations with a commercial ""click-thru"" platform? Looking for a scroll to the bottom and press agree type solution that has robust outputs for obligation management. Thank you! "
15725,"2025-07-11 14:27:40.944055+00",1002,"Plaintiff's Medical Malpractice Attorney In Houston Area","Can anybody recommend a good Plaintiff's Medical Malpractice attorney in the Houston Area? Asking for a family member who suffered from brain cancer. Thank you in advance. "
15727,"2025-07-11 14:50:29.207696+00",144,"Law Firm Discounts","Hi, Looking for the latest on what people are seeing as market when it comes to big law firm discounts, both for private company and venture fund clients. Are your discounts time bound? What ranges are you getting these days? Thank you. "
15728,"2025-07-11 15:20:15.259193+00",34024,"Surveying Outside Counsel On AI Usage","Hello everyone - curious if any legal departments have surveyed their outside counsel firms to get a read on exactly how they are using AI, what tools for which tasks, and documenting any client benefits (especially specific to your work)? Stats like this from a recent Axiom survey make me wonder. ""With 79% of law firms using AI but only 6% passing savings to clients, in-house departments face a cruel irony: they must invest in AI capabilities while their outside counsel benefits from AI efficiencies without sharing cost savings. "
15729,"2025-07-11 15:24:59.573597+00",34658,"Legal Operations & AI Goals","Hey Everyone, I'm working on setting my goals for the rest of 2025 and would love to hear what others are planning. Most of my goals over the past couple years have been centered around CLM. Our CLM is finally in a good place and I'm ready to move on to other things. If you're open to sharing, I'd love to hear what you're focused on (especially interested in AI goals). I'm hoping to gather some fresh ideas (beyond what my sidekick Gemini and I have some up with so far). "
15732,"2025-07-11 18:47:14.143098+00",29863,"Carry Structuring For US Firm With UK Employees","Hi all, I'm looking for advice and market norms around how best to structure and grant carry for UK employees from US funds. Issues on my mind include:   1. how folks think about parity between US and UK grantees considering different tax schemes (i.e., grant the same amount of carry regardless of location or try to balance with additional carry or comp to compensate for variable tax rates?)   2. whether folks use a feeder structure or issue carry directly   3. process - UK equivalents to an 83(b) and other similar issues   4. anything else major I'm missing?   "
15733,"2025-07-11 21:33:17.048033+00",35678,"Additional AI Tools to Existing CLM Tool","Hi, We use Ironclad for our CLM. To date, we've held off on spending a ton of time exploring its AI playbooks / redlining functionality, because these native features are only available in Ironclad's native Editor. Our attorneys (fairly) use Word to edit, so it's felt pointless to explore. The problem is that our need for AI intervention in the contract redlining and negotiation process is growing bigger every day, yet we need to keep Ironclad in place for various reasons. What other tools/systems have others found truly valuable in terms of layering an additional AI negotiation tool on top of an existing CLM (be it Ironclad or otherwise)? Where should we be pivoting our attention? "
15735,"2025-07-14 01:58:59.062675+00",8168,"CPT - ICD10 Licenses","Does anyone have recommendations on the best way to determine if a CPT or ICD-10 license is required for specific use cases? Additionally, if it turns out a license is needed, I would greatly appreciate recommendations on lawyers or experts who specialize in this area and could provide some guidance. Thanks in advance! "
15736,"2025-07-14 04:09:22.947126+00",34275,"Emerging Legal Department Survey","Hi All, Brad Blickstein is launching a new survey specifically for emerging-growth companies. I haven't yet seen a legal department survey focusing on emerging-growth companies, and I think this will provide great benchmarking info for our community. Please take the survey because the more people who participate, the better the data. I'll be sure to add the report once it's released!     Info and the link to participate are below:     This groundbreaking survey offers a unique platform to benchmark your law department against peers, capturing insights that have never been measured before. By participating, you’ll gain access to 100+ critical data points on: ■ Operational Structure   ■ Key Challenges & KPIs   ■ The Growing Use of Generative AI   ■ Shifting Law Department Strategies   ■ Optimizing Relationships with Law Firms, Consultancies, and ALSPs We’re setting new standards for how law departments measure success and spot trends—and we want you to be part of it. Give us 10 minutes and help redefine operational excellence. Only survey participants receive the full results. And rest assured, all responses are kept confidential, with data reported in aggregate form only.     Take the survey: https://www.surveymonkey.com/r/DLHGYVX "
15737,"2025-07-14 14:26:59.64102+00",3732,"Pixsy Copyright Letters","Hello, has anyone dealt with getting a copyright infringement letter from Pixsy? Would appreciate any insight on how they operate and what was or was not successful in your dealings with them. Thank you! "
15738,"2025-07-14 14:34:51.09401+00",461,"Employing in Canada through a PEO / Tax Nexus","Hi, We're a US-based company considering hiring a single rock star individual who lives in Ontario. This would be our first Canadian hire, and we'd hire them through a PEO / co-employment structure.  However, I'm wondering if this single employee could nevertheless create a tax nexus for us, such as Goods and Services Tax/Harmonized Sales Tax and potentially provincial sales taxes.      Has any considered this before and have any thoughts?  Thanks in advance!   Jason "
15738,"2025-07-14 14:34:51.09401+00",461,"Employing in Canada through a PEO / Tax Nexus","Hi, We're a US-based company considering hiring a single rock star individual who lives in Ontario. This would be our first Canadian hire, and we'd hire them through a PEO / co-employment structure.  However, I'm wondering if this single employee could nevertheless create a tax nexus for us, such as Goods and Services Tax/Harmonized Sales Tax and potentially provincial sales taxes.      Has any considered this before and have any thoughts?  Thanks in advance!   Jason "
15739,"2025-07-14 15:42:36.435005+00",791,"Commercial Lender Referrals","I could use some referrals for a commercial lender contact, particularly with Tennessee affiliations. Thanks! "
15740,"2025-07-14 17:56:11.995972+00",4688,"CLM - Condor","Has anyone had any experience working on Condor (a Pega-powered, intelligent, and adaptive contract automation solution) from Pegasystems? If yes, would you be open to a conversation? "
15741,"2025-07-14 18:04:45.50052+00",36667,"Legal Engineer vs. Legal Operations","Article for context: They define ""legal engineering"" as ""the application of technology and process design to legal work. Legal engineers help legal teams build, implement, and troubleshoot tech solutions that streamline workflows, automate routine tasks, and enhance service delivery."" I love the title ""legal engineer,"" but it feels like it's essentially Legal Operations. Have you heard of a ""legal engineer"" before? And how do you feel it might fit in with Legal Operations as it already exists? "
15742,"2025-07-14 18:10:59.989004+00",34346,"Ironclad Professional Services","Does anyone here have recent experience onboarding/implementing Ironclad and leveraging their in-house professional services? I would love to get your thoughts and hear if it was a success. Separately, has anyone handled historical data migration into Ironclad on their own? "
15743,"2025-07-14 18:25:25.223161+00",35106,"Fund Counsel in Cayman","Looking for recommendations for Cayman Islands-based law firms that can assist with fund formation work. Not Maples. "
15744,"2025-07-14 19:07:30.543216+00",2502,"Detroit Based Corporate Litigator for B2B Software Companies","Any recommendation for a Detroit based commercial litigator at a small to midsized firm with experience representing B2B software companies would be appreciated. The matter relates to a commercial dispute in connection with data sharing by a vendor in the context of a business partnership split/breakup. "
15746,"2025-07-14 20:19:01.499175+00",2910,"General Partner Investment Vehicle (Exempt Reporting Advisers)","Are there any ERAs out there where the general partners of the firm have a separate investment vehicle for personal investments (e.g., for private company investments that are not appropriate targets for the funds)? If so, does your firm's management company handle operations for that vehicle, or is it complete separate from the management company? "
15747,"2025-07-14 21:55:21.042905+00",36575,"AI Discovery Tools","Does anyone have recommendations for AI discovery tools? We are the plaintiffs in a lawsuit and want to cut down on external counsel discovery costs by ingesting some of the defendant's document production through an AI tool on our own. Appreciate any leads! "
15748,"2025-07-15 02:29:37.067174+00",8795,"AI Voice Calls - FCC / TSR / TCPA Compliance","Has anyone recently considered AI voice calls in light of the FCC ruling classifying AI calls as ""robocalls""? We are experimenting with AI voice calls where we have prior express written consent to contact but struggling with the TSR and TCPA requirement on ""abandoned calls"" (ie. that use of ""robocalls"" requires the marketer to stay below 3% of calls failing to transfer to a live agent in 2 seconds, which our AI calls would not because the point is that AI can handle some portion of the calls independently). This seems like an issue of the law not totally aligning with technology but curious if anyone has gotten comfortable with a way to use AI voice calls in the US where you do have consent of the person being contacted. "
15749,"2025-07-15 10:00:35.519196+00",1577,"Legal Support in Mexico (Contractor)","Hi all, We are looking for commercial support for our local operations in Mexico. At the moment, we are looking for a contractor to help manage commercial agreements and work with the local sales team in standing up processes. Would welcome any of the following:   * range of rates you may have seen for lawyers/nonlawyers in Mexico City.   * recommendations of individuals who might be available support this type of work (non-law firm)   * any agencies you have worked with for placement of an attorney/non-attorney in Mexico City.   "
15750,"2025-07-15 13:06:12.786225+00",30595,"Attorneys Specializing In Housing Accessibility (ADA and HUD)","Hello - We are looking for an attorney specializing in housing accessibility to provide ongoing counseling on the ADA and navigating reasonable accommodation requests in the multifamily housing space. I'm open to working with attorneys located/barred anywhere in the U.S. Thanks in advance for any suggestions. "
15751,"2025-07-15 13:16:36.923122+00",1625,"LP-Led Secondaries","Hi all - I'm curious about other GPs' stance on LP-led secondaries, particularly in light of their increasing popularity. Realizing it's highly dependent on the circumstances, it'd be helpful to get a gauge on the general sentiment on requests to sell fund interests as part of a broader sale by an institutional LP. Any transfer is subject to our approval, and we've historically been resistant to transfers outside of affiliate transfers or estate planning. Putting aside the IR aspect of managing the relationship with the selling LP, what other considerations have folks considered?  Immediate ones for me are the opportunity to foster the relationship with the secondary buyer and potentially commit to future funds; the taint of being uncooperative; potentially exchanging our approval for the buyer's pre-approval of a future LPAC or LP action (e.g., fund term extension); and optimizing our LP roster for known and trusted relationships. "
15752,"2025-07-15 13:54:14.36322+00",8895,"[Anonymous post] AI Discovery Tools","Anonymously posting on behalf of a TechGC member: Does anyone have recommendations for AI discovery tools? We are the plaintiffs in a lawsuit and want to cut down on external counsel discovery costs by ingesting some of the defendant's document production through an AI tool on our own. Appreciate any leads! "
15754,"2025-07-15 16:54:52.216728+00",1872,"AI Training For Employees","While we have a formal AI policy, we do not yet have formal AI training for employees. Does anyone have a simple framework/deck they've used to train on responsible AI use or used a third-party vendor's training module? We'd like to avoid paying a lot for a simple training module we can create ourselves, but also don't want to reinvent the wheel. "
15755,"2025-07-15 18:19:10.59142+00",1862,"Contracts Paralegal","I'm looking for an experienced commercial contract paralegal on a temp basis to start as soon as possible. Likely 2 month placement. Any referrals are greatly appreciated! "
15757,"2025-07-15 20:47:53.822343+00",37694,"Evisort Tips & Tricks","Attention Evisort power users! We've recently adopted Evisort as our CLM (previously manually managing contracts in DropBox and Google Sheets). The learning curve has been a bit steep. What tips do you have for getting the best use out of Evisort? "
15759,"2025-07-15 21:28:15.766455+00",29863,"Employee Co-Invest?","Hi all - I am wondering whether any venture firms offer employees co-investment opportunities into portfolio company investments (separate from carry indirectly), and if so what the program looks like in terms of when to offer co-investment relative to main fund allocations, on what terms, and how to manage conflicts of interest. This seems like a potential challenge from both a fiduciary and administrative standpoint, but I heard from someone on my team about other (i.e., unnamed) firms offering this so am hoping to gather data points. Thanks in advance! "
15761,"2025-07-15 23:05:18.753299+00",3887,"Lawyer Not Registered In CA Working For A CA-Based Company","Hi all, Does anyone know whether there is a requirement for lawyers working for a CA-based company to be registered in CA? I saw this old thread and want to check whether the advice remains correct. I am resident in NY and need to know if I need to get registered in CA. I cannot rely on Rule 9.46 because my primary bar registration is in Australia and not in any US state. "
15762,"2025-07-15 23:16:26.486943+00",2235,"Skipping PIPs And Offering Severance (As A Policy)","Has anyone here adopted a practice of skipping the formal PIP process and moving directly to a severance offer for under-performers? Or, are any of you aware of any late-stage private tech companies who have implemented this approach (i.e. not Apple, Meta, Amazon, which follow a similar approach)? Specifically, I'd love to know:   * Are you seeing this trend in your networks, and if so, how is it working in practice?   * What pitfalls have you encountered (beyond the obvious need for solid documentation and legal review of terminations)?   * Any practical tips for managing risk or handling edge cases that aren't obvious from the outside?   Would appreciate any real-world examples or lessons learned--especially from companies that don't have the litigation budgets of the public tech giants. Thanks. "
